product_id,name,subcategory,category,start_date,end_date,is_current
TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Accessories,Technology,2024-05-28,2024-12-31,True
FUR-CH-10003950,"Novimex Executive Leather Armchair, Black",Chairs,Furniture,2024-05-28,2024-12-31,True
TEC-PH-10004664,"Nokia Smart Phone, with Caller ID",Phones,Technology,2024-05-28,2024-12-31,True
TEC-PH-10004583,"Motorola Smart Phone, Cordless",Phones,Technology,2024-05-28,2024-12-31,True
TEC-SHA-10000501,"Sharp Wireless Fax, High-Speed",Copiers,Technology,2024-05-28,2024-12-31,True
TEC-PH-10000030,"Samsung Smart Phone, with Caller ID",Phones,Technology,2024-05-28,2024-12-31,True
FUR-CH-10004050,"Novimex Executive Leather Armchair, Adjustable",Chairs,Furniture,2024-05-28,2024-12-31,True
FUR-TA-10002958,"Chromcraft Conference Table, Fully Assembled",Tables,Furniture,2024-05-28,2024-12-31,True
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Binders,Office Supplies,2024-05-28,2024-12-31,True
FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Tables,Furniture,2024-05-28,2024-12-31,True
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Supplies,Office Supplies,2024-05-28,2024-12-31,True
FUR-TA-10001889,"Bevis Conference Table, Fully Assembled",Tables,Furniture,2024-05-28,2024-12-31,True
TEC-CIS-10001717,"Cisco Smart Phone, with Caller ID",Phones,Technology,2024-05-28,2024-12-31,True
FUR-CH-10002033,"Harbour Creations Executive Leather Armchair, Adjustable",Chairs,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10003500,"KitchenAid Microwave, White",Appliances,Office Supplies,2024-05-28,2024-12-31,True
OFF-AP-10000423,"Breville Refrigerator, Red",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-AC-10004145,Logitech diNovo Edge Keyboard,Accessories,Technology,2024-05-28,2024-12-31,True
OFF-AP-10004512,"Hoover Stove, Red",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-CO-10000865,"Brother Fax Machine, High-Speed",Copiers,Technology,2024-05-28,2024-12-31,True
OFF-KIT-10004058,"KitchenAid Stove, White",Appliances,Office Supplies,2024-05-28,2024-12-31,True
FUR-HON-10000224,"Hon Computer Table, with Bottom Storage",Tables,Furniture,2024-05-28,2024-12-31,True
TEC-PH-10001363,Apple iPhone 5S,Phones,Technology,2024-05-28,2024-12-31,True
FUR-CH-10000027,"SAFCO Executive Leather Armchair, Black",Chairs,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10003590,"KitchenAid Refrigerator, Black",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-PH-10004182,"Motorola Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
FUR-TA-10002827,"Hon Computer Table, Fully Assembled",Tables,Furniture,2024-05-28,2024-12-31,True
FUR-TA-10004744,"Lesro Conference Table, with Bottom Storage",Tables,Furniture,2024-05-28,2024-12-31,True
TEC-PH-10002885,Apple iPhone 5,Phones,Technology,2024-05-28,2024-12-31,True
FUR-CH-10001415,"Office Star Executive Leather Armchair, Red",Chairs,Furniture,2024-05-28,2024-12-31,True
TEC-PH-10002815,"Samsung Smart Phone, VoIP",Phones,Technology,2024-05-28,2024-12-31,True
TEC-MA-10000161,"Okidata Inkjet, Wireless",Machines,Technology,2024-05-28,2024-12-31,True
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Chairs,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10004246,"Breville Stove, Red",Appliances,Office Supplies,2024-05-28,2024-12-31,True
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Tables,Furniture,2024-05-28,2024-12-31,True
TEC-APP-10000308,"Apple Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Machines,Technology,2024-05-28,2024-12-31,True
TEC-MA-10004125,Cubify CubeX 3D Printer Triple Head Print,Machines,Technology,2024-05-28,2024-12-31,True
TEC-CO-10000013,"Brother Fax Machine, Laser",Copiers,Technology,2024-05-28,2024-12-31,True
TEC-PH-10000499,"Motorola Smart Phone, Full Size",Phones,Technology,2024-05-28,2024-12-31,True
TEC-PH-10003856,"Motorola Smart Phone, with Caller ID",Phones,Technology,2024-05-28,2024-12-31,True
FUR-BO-10004852,"Sauder Classic Bookcase, Traditional",Bookcases,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10000486,"Cuisinart Stove, Silver",Appliances,Office Supplies,2024-05-28,2024-12-31,True
OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Binders,Office Supplies,2024-05-28,2024-12-31,True
FUR-CH-10003365,"Office Star Executive Leather Armchair, Adjustable",Chairs,Furniture,2024-05-28,2024-12-31,True
FUR-CH-10000602,"Novimex Executive Leather Armchair, Red",Chairs,Furniture,2024-05-28,2024-12-31,True
TEC-MA-10002680,"Konica Inkjet, White",Machines,Technology,2024-05-28,2024-12-31,True
FUR-CH-10000891,"Harbour Creations Executive Leather Armchair, Black",Chairs,Furniture,2024-05-28,2024-12-31,True
TEC-CAN-10003392,"Canon Copy Machine, Color",Copiers,Technology,2024-05-28,2024-12-31,True
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Copiers,Technology,2024-05-28,2024-12-31,True
FUR-BO-10001372,"Safco Classic Bookcase, Pine",Bookcases,Furniture,2024-05-28,2024-12-31,True
TEC-MOT-10002272,"Motorola Smart Phone, with Caller ID",Phones,Technology,2024-05-28,2024-12-31,True
TEC-CO-10004997,"Hewlett Wireless Fax, Color",Copiers,Technology,2024-05-28,2024-12-31,True
TEC-CO-10001766,Canon PC940 Copier,Copiers,Technology,2024-05-28,2024-12-31,True
FUR-TA-10000226,"Chromcraft Conference Table, with Bottom Storage",Tables,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10002244,"Breville Refrigerator, White",Appliances,Office Supplies,2024-05-28,2024-12-31,True
TEC-PH-10001459,Samsung Galaxy Mega 6.3,Phones,Technology,2024-05-28,2024-12-31,True
FUR-BO-10001073,"Safco Classic Bookcase, Metal",Bookcases,Furniture,2024-05-28,2024-12-31,True
TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,Machines,Technology,2024-05-28,2024-12-31,True
TEC-PH-10002035,"Samsung Smart Phone, Cordless",Phones,Technology,2024-05-28,2024-12-31,True
TEC-PH-10002565,"Apple Audio Dock, with Caller ID",Phones,Technology,2024-05-28,2024-12-31,True
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Appliances,Office Supplies,2024-05-28,2024-12-31,True
FUR-BO-10004999,"Safco Classic Bookcase, Metal",Bookcases,Furniture,2024-05-28,2024-12-31,True
FUR-TA-10001205,"Chromcraft Wood Table, Rectangular",Tables,Furniture,2024-05-28,2024-12-31,True
TEC-PH-10004196,"Samsung Smart Phone, Cordless",Phones,Technology,2024-05-28,2024-12-31,True
FUR-CHR-10001018,"Chromcraft Round Table, Rectangular",Tables,Furniture,2024-05-28,2024-12-31,True
FUR-CH-10003232,"Harbour Creations Executive Leather Armchair, Adjustable",Chairs,Furniture,2024-05-28,2024-12-31,True
OFF-AP-10001630,"Hamilton Beach Microwave, Black",Appliances,Office Supplies,2024-05-28,2024-12-31,True
FUR-HAR-10002873,"Harbour Creations Executive Leather Armchair, Adjustable",Chairs,Furniture,2024-05-28,2024-12-31,True
