store_id,market,region,country,start_date,end_date,is_current
LOC2293,US,East,United States,2024-05-28,2024-12-31,True
LOC3521,APAC,Oceania,Australia,2024-05-28,2024-12-31,True
LOC499,APAC,Oceania,Australia,2024-05-28,2024-12-31,True
LOC377,EU,Central,Germany,2024-05-28,2024-12-31,True
LOC859,Africa,Africa,Senegal,2024-05-28,2024-12-31,True
LOC3121,APAC,Oceania,Australia,2024-05-28,2024-12-31,True
LOC2565,APAC,Oceania,New Zealand,2024-05-28,2024-12-31,True
LOC1318,APAC,Oceania,New Zealand,2024-05-28,2024-12-31,True
LOC2774,US,West,United States,2024-05-28,2024-12-31,True
LOC783,US,South,United States,2024-05-28,2024-12-31,True
LOC073,US,South,United States,2024-05-28,2024-12-31,True
LOC1576,APAC,Central Asia,Afghanistan,2024-05-28,2024-12-31,True
LOC1557,EMEA,EMEA,Saudi Arabia,2024-05-28,2024-12-31,True
LOC3241,LATAM,South,Brazil,2024-05-28,2024-12-31,True
LOC2214,APAC,North Asia,China,2024-05-28,2024-12-31,True
LOC2449,EU,Central,France,2024-05-28,2024-12-31,True
LOC1359,US,South,United States,2024-05-28,2024-12-31,True
LOC2595,EU,South,Italy,2024-05-28,2024-12-31,True
LOC3268,APAC,Oceania,Australia,2024-05-28,2024-12-31,True
LOC3339,Africa,Africa,Tanzania,2024-05-28,2024-12-31,True
LOC544,EMEA,EMEA,Poland,2024-05-28,2024-12-31,True
LOC698,US,Central,United States,2024-05-28,2024-12-31,True
LOC3118,APAC,North Asia,China,2024-05-28,2024-12-31,True
LOC987,EU,North,United Kingdom,2024-05-28,2024-12-31,True
LOC1567,LATAM,North,Mexico,2024-05-28,2024-12-31,True
LOC3061,LATAM,Central,El Salvador,2024-05-28,2024-12-31,True
LOC3127,APAC,North Asia,Taiwan,2024-05-28,2024-12-31,True
LOC1825,EU,Central,Germany,2024-05-28,2024-12-31,True
LOC1913,US,West,United States,2024-05-28,2024-12-31,True
LOC3113,APAC,Central Asia,India,2024-05-28,2024-12-31,True
LOC2910,LATAM,Caribbean,Dominican Republic,2024-05-28,2024-12-31,True
LOC2790,EU,Central,France,2024-05-28,2024-12-31,True
LOC094,US,Central,United States,2024-05-28,2024-12-31,True
LOC1205,APAC,Oceania,Australia,2024-05-28,2024-12-31,True
LOC1122,US,West,United States,2024-05-28,2024-12-31,True
LOC1595,Africa,Africa,Democratic Republic of the Congo,2024-05-28,2024-12-31,True
LOC533,US,South,United States,2024-05-28,2024-12-31,True
LOC3088,EU,North,United Kingdom,2024-05-28,2024-12-31,True
LOC2055,APAC,Southeast Asia,Indonesia,2024-05-28,2024-12-31,True
LOC1213,APAC,Central Asia,India,2024-05-28,2024-12-31,True
LOC3212,APAC,Central Asia,India,2024-05-28,2024-12-31,True
LOC1418,EU,North,United Kingdom,2024-05-28,2024-12-31,True
LOC2131,US,Central,United States,2024-05-28,2024-12-31,True
LOC2185,EU,Central,France,2024-05-28,2024-12-31,True
LOC2993,APAC,North Asia,China,2024-05-28,2024-12-31,True
LOC1518,APAC,Central Asia,India,2024-05-28,2024-12-31,True
LOC2470,LATAM,South,Uruguay,2024-05-28,2024-12-31,True
LOC338,EMEA,EMEA,Iran,2024-05-28,2024-12-31,True
LOC1424,US,West,United States,2024-05-28,2024-12-31,True
LOC2013,Africa,Africa,Mozambique,2024-05-28,2024-12-31,True
LOC394,APAC,Central Asia,India,2024-05-28,2024-12-31,True
LOC2949,US,West,United States,2024-05-28,2024-12-31,True
LOC890,APAC,Central Asia,India,2024-05-28,2024-12-31,True
LOC1181,APAC,Oceania,Australia,2024-05-28,2024-12-31,True
LOC3143,US,South,United States,2024-05-28,2024-12-31,True
LOC914,APAC,Central Asia,Bangladesh,2024-05-28,2024-12-31,True
LOC2220,EU,Central,Germany,2024-05-28,2024-12-31,True
LOC638,EU,Central,Germany,2024-05-28,2024-12-31,True
LOC3535,APAC,North Asia,China,2024-05-28,2024-12-31,True
LOC2707,US,South,United States,2024-05-28,2024-12-31,True
LOC2965,EU,South,Spain,2024-05-28,2024-12-31,True
LOC2654,APAC,Central Asia,India,2024-05-28,2024-12-31,True
LOC1208,LATAM,North,Mexico,2024-05-28,2024-12-31,True
LOC1645,EMEA,EMEA,Ukraine,2024-05-28,2024-12-31,True
LOC1545,APAC,North Asia,China,2024-05-28,2024-12-31,True
LOC713,LATAM,Central,Nicaragua,2024-05-28,2024-12-31,True
LOC1597,Africa,Africa,Democratic Republic of the Congo,2024-05-28,2024-12-31,True
LOC2421,APAC,Southeast Asia,Indonesia,2024-05-28,2024-12-31,True
LOC1898,EU,North,United Kingdom,2024-05-28,2024-12-31,True
LOC2086,APAC,Oceania,Australia,2024-05-28,2024-12-31,True
LOC213,US,South,United States,2024-05-28,2024-12-31,True
LOC960,EU,Central,Germany,2024-05-28,2024-12-31,True
LOC2251,APAC,North Asia,China,2024-05-28,2024-12-31,True
LOC2240,APAC,Central Asia,India,2024-05-28,2024-12-31,True
LOC1858,EU,Central,France,2024-05-28,2024-12-31,True
LOC2085,Africa,Africa,Morocco,2024-05-28,2024-12-31,True
LOC1507,US,Central,United States,2024-05-28,2024-12-31,True
LOC2502,US,East,United States,2024-05-28,2024-12-31,True
LOC1709,EU,Central,Germany,2024-05-28,2024-12-31,True
LOC276,APAC,Southeast Asia,Indonesia,2024-05-28,2024-12-31,True
LOC618,Africa,Africa,Morocco,2024-05-28,2024-12-31,True
LOC3245,APAC,Central Asia,Bangladesh,2024-05-28,2024-12-31,True
LOC2184,Canada,Canada,Canada,2024-05-28,2024-12-31,True
LOC2000,APAC,Southeast Asia,Philippines,2024-05-28,2024-12-31,True
LOC2295,APAC,Oceania,Australia,2024-05-28,2024-12-31,True
LOC1233,EU,Central,Austria,2024-05-28,2024-12-31,True
LOC2341,APAC,Oceania,Australia,2024-05-28,2024-12-31,True
LOC467,EU,Central,France,2024-05-28,2024-12-31,True
LOC1979,EU,Central,France,2024-05-28,2024-12-31,True
LOC1668,Africa,Africa,Democratic Republic of the Congo,2024-05-28,2024-12-31,True
LOC2487,APAC,Oceania,Australia,2024-05-28,2024-12-31,True
LOC1806,EU,Central,France,2024-05-28,2024-12-31,True
LOC2607,LATAM,North,Mexico,2024-05-28,2024-12-31,True
LOC221,EU,Central,Germany,2024-05-28,2024-12-31,True
LOC2304,EU,Central,France,2024-05-28,2024-12-31,True
LOC2079,LATAM,South,Colombia,2024-05-28,2024-12-31,True
LOC373,EU,Central,Netherlands,2024-05-28,2024-12-31,True
LOC1770,US,East,United States,2024-05-28,2024-12-31,True
LOC1328,EU,Central,Germany,2024-05-28,2024-12-31,True
LOC3400,EU,South,Spain,2024-05-28,2024-12-31,True
LOC1148,APAC,North Asia,China,2024-05-28,2024-12-31,True
LOC489,EU,Central,Germany,2024-05-28,2024-12-31,True
LOC2222,EU,Central,France,2024-05-28,2024-12-31,True
LOC3626,APAC,North Asia,China,2024-05-28,2024-12-31,True
LOC028,APAC,Oceania,Australia,2024-05-28,2024-12-31,True
LOC906,US,Central,United States,2024-05-28,2024-12-31,True
LOC678,EU,Central,France,2024-05-28,2024-12-31,True
LOC1716,APAC,Southeast Asia,Malaysia,2024-05-28,2024-12-31,True
LOC1336,US,South,United States,2024-05-28,2024-12-31,True
LOC1050,US,East,United States,2024-05-28,2024-12-31,True
LOC2647,LATAM,South,Ecuador,2024-05-28,2024-12-31,True
LOC3343,APAC,Central Asia,India,2024-05-28,2024-12-31,True
LOC2913,APAC,North Asia,China,2024-05-28,2024-12-31,True
LOC278,APAC,Southeast Asia,Thailand,2024-05-28,2024-12-31,True
LOC2843,US,West,United States,2024-05-28,2024-12-31,True
LOC3167,APAC,Southeast Asia,Indonesia,2024-05-28,2024-12-31,True
LOC1271,LATAM,North,Mexico,2024-05-28,2024-12-31,True
LOC3533,APAC,North Asia,China,2024-05-28,2024-12-31,True
LOC1962,US,Central,United States,2024-05-28,2024-12-31,True
LOC2826,LATAM,South,Brazil,2024-05-28,2024-12-31,True
