store_id,market,region,country
LOC2293,US,East,United States
LOC3521,APAC,Oceania,Australia
LOC499,APAC,Oceania,Australia
LOC377,EU,Central,Germany
LOC859,Africa,Africa,Senegal
LOC3121,APAC,Oceania,Australia
LOC2565,APAC,Oceania,New Zealand
LOC1318,APAC,Oceania,New Zealand
LOC2774,US,West,United States
LOC783,US,South,United States
LOC073,US,South,United States
LOC1576,APAC,Central Asia,Afghanistan
LOC1557,EMEA,EMEA,Saudi Arabia
LOC3241,LATAM,South,Brazil
LOC2214,APAC,North Asia,China
LOC2449,EU,Central,France
LOC1359,US,South,United States
LOC2595,EU,South,Italy
LOC3268,APAC,Oceania,Australia
LOC3339,Africa,Africa,Tanzania
LOC544,EMEA,EMEA,Poland
LOC698,US,Central,United States
LOC3118,APAC,North Asia,China
LOC987,EU,North,United Kingdom
LOC1567,LATAM,North,Mexico
LOC3061,LATAM,Central,El Salvador
LOC3127,APAC,North Asia,Taiwan
LOC1825,EU,Central,Germany
LOC1913,US,West,United States
LOC3113,APAC,Central Asia,India
LOC2910,LATAM,Caribbean,Dominican Republic
LOC2790,EU,Central,France
LOC094,US,Central,United States
LOC1205,APAC,Oceania,Australia
LOC1122,US,West,United States
LOC1595,Africa,Africa,Democratic Republic of the Congo
LOC533,US,South,United States
LOC3088,EU,North,United Kingdom
LOC2055,APAC,Southeast Asia,Indonesia
LOC1213,APAC,Central Asia,India
LOC3212,APAC,Central Asia,India
LOC1418,EU,North,United Kingdom
LOC2131,US,Central,United States
LOC2185,EU,Central,France
LOC2993,APAC,North Asia,China
LOC1518,APAC,Central Asia,India
LOC2470,LATAM,South,Uruguay
LOC338,EMEA,EMEA,Iran
LOC1424,US,West,United States
LOC2013,Africa,Africa,Mozambique
LOC394,APAC,Central Asia,India
LOC2949,US,West,United States
LOC890,APAC,Central Asia,India
LOC1181,APAC,Oceania,Australia
LOC3143,US,South,United States
LOC914,APAC,Central Asia,Bangladesh
LOC2220,EU,Central,Germany
LOC638,EU,Central,Germany
LOC3535,APAC,North Asia,China
LOC2707,US,South,United States
LOC2965,EU,South,Spain
LOC2654,APAC,Central Asia,India
LOC1208,LATAM,North,Mexico
LOC1645,EMEA,EMEA,Ukraine
LOC1545,APAC,North Asia,China
LOC713,LATAM,Central,Nicaragua
LOC1597,Africa,Africa,Democratic Republic of the Congo
LOC2421,APAC,Southeast Asia,Indonesia
LOC1898,EU,North,United Kingdom
LOC2086,APAC,Oceania,Australia
LOC213,US,South,United States
LOC960,EU,Central,Germany
LOC2251,APAC,North Asia,China
LOC2240,APAC,Central Asia,India
LOC1858,EU,Central,France
LOC2085,Africa,Africa,Morocco
LOC1507,US,Central,United States
LOC2502,US,East,United States
LOC1709,EU,Central,Germany
LOC276,APAC,Southeast Asia,Indonesia
LOC618,Africa,Africa,Morocco
LOC3245,APAC,Central Asia,Bangladesh
LOC2184,Canada,Canada,Canada
LOC2000,APAC,Southeast Asia,Philippines
LOC2295,APAC,Oceania,Australia
LOC1233,EU,Central,Austria
LOC2341,APAC,Oceania,Australia
LOC467,EU,Central,France
LOC1979,EU,Central,France
LOC1668,Africa,Africa,Democratic Republic of the Congo
LOC2487,APAC,Oceania,Australia
LOC1806,EU,Central,France
LOC2607,LATAM,North,Mexico
LOC221,EU,Central,Germany
LOC2304,EU,Central,France
LOC2079,LATAM,South,Colombia
LOC373,EU,Central,Netherlands
LOC1770,US,East,United States
LOC1328,EU,Central,Germany
LOC3400,EU,South,Spain
LOC1148,APAC,North Asia,China
LOC489,EU,Central,Germany
LOC2222,EU,Central,France
LOC3626,APAC,North Asia,China
LOC028,APAC,Oceania,Australia
LOC906,US,Central,United States
LOC678,EU,Central,France
LOC1716,APAC,Southeast Asia,Malaysia
LOC1336,US,South,United States
LOC1050,US,East,United States
LOC2647,LATAM,South,Ecuador
LOC3343,APAC,Central Asia,India
LOC2913,APAC,North Asia,China
LOC278,APAC,Southeast Asia,Thailand
LOC2843,US,West,United States
LOC3167,APAC,Southeast Asia,Indonesia
LOC1271,LATAM,North,Mexico
LOC3533,APAC,North Asia,China
LOC1962,US,Central,United States
LOC2826,LATAM,South,Brazil
LOC3279,EU,South,Italy
LOC1333,Africa,Africa,Somalia
LOC1900,US,West,United States
LOC3580,APAC,Southeast Asia,Indonesia
LOC131,APAC,North Asia,China
LOC107,EU,Central,Netherlands
